0,R,SHORT,Alarm Code，报警标志
1,R,SHORT,"Status Code驱动器状态标志"
2,R,SHORT,当前输入端口值
3,R,SHORT,当前输出端口值
4,R,SHORT,通用输入端口导通触发状态
5,R,SHORT,通用输入端口断开触发状态
6,W,SHORT,导通触发状态清除寄存器
7,W,SHORT,断开触发状态清除寄存器
8,R,SHORT,内部脉冲模式时，当前绝对位置低 16 位
9,R,SHORT,内部脉冲模式时，当前绝对位置高 16 位
10,R,SHORT,给定速度 RPM
11,R,SHORT,母线电压 mV
12,R,SHORT,闭环模式时的电机跟踪误差低 16 位
13,R,SHORT,闭环模式时的电机跟踪误差高 16 位
14,R,SHORT,外部脉冲计数器低 16 位
15,R,SHORT,外部脉冲计数器高 16 位
16,W,SHORT,清除外部脉冲计数器
17,R/W,SHORT,指令工作模式：内部指令或者外部脉冲
18,R/W,SHORT,内部指令模式并且应用模式为 0 时的运动指令
19,R,SHORT,外部脉冲时的脉冲指令形式
20,R/W,SHORT,内部指令模式时的应用模式选择
21,R/W,SHORT,电机类型选择：两相或者三相
22,R/W,SHORT,电机控制模式选择：开环、伺服模式一、伺服模式二
23,R/W,SHORT,电机运行方向取反
24,R/W,SHORT,电机细分（脉冲数/转）
25,R/W,SHORT,运行电流（mA）
26,R/W,SHORT,待机电流百分比（%）
27,R/W,SHORT,脉冲停止后进入待机的时间（ms）
28,R/W,SHORT,脉冲指令滤波
29,R,SHORT,编码器当前位置（脉冲数）
30,R/W,SHORT,使能驱动器参数自动识别功能
31,R,SHORT,自动识别的电阻值 mOhm
32,R,SHORT,自动识别的电感值 mH
33,R/W,SHORT,取消自动识别时，用户设定的电阻值
34,R/W,SHORT,取消自动识别时，用户设定的电阻值
35,R/W,SHORT,电机力矩系数，预留给驱动器内部使用
36,R/W,SHORT,电流环比例增益
37,R/W,SHORT,电流环积分增益
38,R/W,SHORT,电流环相位超前增益
39,R/W,SHORT,电流环阶跃测试
40,R/W,SHORT,电机编码器分辨率
41,R/W,SHORT,跟踪误差报警阈值
42,R/W,SHORT,定位完成精度
43,R/W,SHORT,定位完成时间
44,R/W,SHORT,脉冲停止到开始检测定位完成的时间
45,R/W,SHORT,最大电流
46,R/W,SHORT,基础电流
47,R/W,SHORT,一级速度反馈滤波器
48,R/W,SHORT,二级速度反馈滤波器
49,R/W,SHORT,伺服模式一低速抗共振增益
50,R/W,SHORT,伺服模式二位置环比例增益
51,R/W,SHORT,伺服模式二位置环积分增益
52,R/W,SHORT,伺服模式二速度环阻尼 1
53,R/W,SHORT,伺服模式二速度环阻尼 2
54,R/W,SHORT,伺服模式二速度环前馈增益
55,R/W,SHORT,伺服模式二重力补偿
56,R/W,SHORT,伺服模式二加速度增益
57,R/W,SHORT,伺服模式二加速度前馈增益
58,R/W,SHORT,伺服模式二速度环输出滤波器
59,R/W,SHORT,伺服模式二加速度前馈滤波器
60,R/W,SHORT,输入口 1 设置寄存器
61,R/W,SHORT,输入口 2 设置寄存器
62,R/W,SHORT,输入口 3 设置寄存器
63,R/W,SHORT,输入口 4 设置寄存器
64,R/W,SHORT,输入口 5 设置寄存器
65,R/W,SHORT,输入口 6 设置寄存器
66,R/W,SHORT,输出口 1 设置寄存器
67,R/W,SHORT,输出口 2 设置寄存器
68,R/W,SHORT,输出口 1、2 在通用输出口模式时的输出值设置寄存器
69,R,SHORT,输入功能状态
70,R/W,SHORT,点对点运动加速度(r/s^2)
71,R/W,SHORT,点对点运动减速度(r/s^2)
72,R/W,SHORT,点对点运动最大速度(RPM)
73,R/W,SHORT,点对点运动行程低 16 位(PUlSE)
74,R/W,SHORT,点对点运动行程高 16 位(PUlSE)
75,R/W,SHORT,连续运行时启动的加速度（R/S^2）
76,R/W,SHORT,连续运行时减速停止时候的减速度（R/S^2）
77,R/W,SHORT,连续运行时的速度（RPM）
78,R/W,SHORT,急停时的减速度
84,R/W,SHORT,位置模式选择：增量运动与绝对运动
85,R/W,SHORT,内部指令计数器清零
88,R/W,SHORT,超差报警无效
89,R/W,SHORT,伺服模式一积分增益
90,R/W,SHORT,写入 1 将保存当前参数，然后自动清零
91,R/W,SHORT,写入 1 将恢复出厂设置，然后自动清零
92,R,SHORT,厂商保留，请勿在此寄存器写入任何值
93,R,SHORT,驱动器 ID
94,R,SHORT,驱动器版本
95,R,SHORT,非标号
100,R/W,SHORT,速度表、位置表模式时，IO 切换生效时间
101,R/W,SHORT,电流阶跃测试电流（mA）
102,R/W,SHORT,输出口 3 设置寄存器
103,R/W,SHORT,输出口 4 设置寄存器
104,R,SHORT,输出口标志
105,R/W,SHORT,内部速度 0
106,R/W,SHORT,内部速度 1
107,R/W,SHORT,内部速度 2
108,R/W,SHORT,内部速度 3
109,R/W,SHORT,内部速度 4
110,R/W,SHORT,内部速度 5
111,R/W,SHORT,内部速度 6
112,R/W,SHORT,内部速度 7
113,R/W,SHORT,内部速度 8
114,R/W,SHORT,内部速度 9
115,R/W,SHORT,内部速度 10
116,R/W,SHORT,内部速度 11
117,R/W,SHORT,内部速度 12
118,R/W,SHORT,内部速度 13
119,R/W,SHORT,内部速度 14
120,R/W,SHORT,内部速度 15
121,R/W,SHORT,当前触发的位置表
122,R/W,SHORT,默认参数 ID 号
123,R,SHORT,编码器多圈计数低 16 位
124,R,SHORT,编码器多圈计数高 16 位
125,R/W,SHORT,内部位置 0 低 16 位
126,R/W,SHORT,内部位置 0 高 16 位
127,R/W,SHORT,内部位置 1 低 16 位
128,R/W,SHORT,内部位置 1 高 16 位
129,R/W,SHORT,内部位置 2 低 16 位
130,R/W,SHORT,内部位置 2 高 16 位
131,R/W,SHORT,内部位置 3 低 16 位
